OTU ID	SRR5930493	SRR5930494	SRR5930495	SRR5930497	SRR5930498	SRR5930499	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930536
semibin_SRR8387712.8_sub	0.49737560227443783	0.12197339895228618	0.0	0.0	0.11437166999169025	0.0	0.20989094650876838	0.0	0.0	0.0	0.0	0.0	0.0	0.04297586125594104	0.1682594438346534	0.0	0.2523938266998564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3489716381392436	0.5202194601413749	0.0	0.07614858796840582	0.7040876411478291	0.0	0.15549651176584248	0.20365861348448897	0.0
semibin_SRR8387712.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1849152789450255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09440768797199621	0.0	0.0	0.0	0.2115574332825921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387707.23	0.0	0.10672328343043616	0.07379566626922521	0.03765638897358985	0.0	0.0	0.0	0.0	0.0	0.0	0.019358190243920288	0.08307065930665329	0.02935087084043112	0.04543393486000639	0.0	0.0	0.0	0.0	0.0	0.0	0.08853851309520906	0.021639457590356015	0.07776785096732095	0.04528052367211246	0.0	0.0	0.0	0.0	0.12330517500029563	0.0	0.04667977843732128	0.13015617090115233	0.0	0.0	0.025338236720354727	0.0313018548237484	0.0	0.0	0.04159571866666736
semibin_SRR8387707.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029754899362741765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387691.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9325262056613352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387683.51	0.0	0.0	0.0	0.0	0.0	0.0	0.4589129629040586	0.0	0.0	0.0	0.1325544614158753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11967569961728913	0.0	0.0	0.0	0.12267160987728513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32319980561713163	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387683.34_sub	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16355769492203032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2672770072882149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387683.30	0.0	0.1259513270368314	0.0	0.0	0.052820647777045114	0.0	0.0	0.0	0.11737174214956472	0.057124137775302286	0.030719173746520164	0.0	0.1841687725893611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09829575196003945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11167767863105864	0.0
semibin_SRR8387683.16	0.11558342850327641	0.0	0.16102826479862598	0.0	0.17999556592683993	0.08656866624741581	0.04380044124647124	0.0	0.3468129176887534	0.0	0.03570349246203269	0.0	0.0	0.060464087963811974	0.06935410664234103	0.0	0.0	0.0	0.0	0.5838880296274086	0.0	0.026156656019089373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387681.3	0.0	0.1255273245383602	0.0	0.0	0.057903389660450506	0.0	0.040358682428810494	0.0	0.11860521450945388	0.05084547068704935	0.03811315909556199	0.0	0.1749090639307301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10506007396403202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12686541647475358	0.0
semibin_SRR8387677.66	0.0	0.0	0.0	0.0	0.0	0.0	0.10647317882625502	0.0	0.12807437156045337	0.0	0.0	0.0	0.0	0.0	0.0	0.1181040952828599	0.0	0.4223721861262676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18828403612583214	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387676.49	0.15606849172098555	0.18895841320369708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18692392698769741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07095385367048102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04231782887576825	0.0	0.0	0.32574130746433905	0.0	0.0
semibin_SRR8387659.60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21993786131850923	0.0	0.0
