OTU ID	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
semibin_SRR8387712.8_sub	0.22826701638467484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.720520986108554	0.0	0.0	0.0	0.0	0.0	0.450030160614003	0.0	0.0	0.0	0.0	0.2433667372071821	0.0	0.0	0.29015068279292766	0.0
semibin_SRR8387712.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2372874048955893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387712.32	0.0	0.4523224675668415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5863385766512332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387707.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16878252705430047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07751003984979414	0.0	0.20122109137556518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055007526829207655	0.0	0.0	0.0	0.0
semibin_SRR8387683.30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1585375310510612	0.0	0.0	0.0	0.0
semibin_SRR8387683.16	0.0	0.42069139591758004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4729564889158939	1.298021183281191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.046030376574383	0.0	0.19135420418243224	0.23931103063466327	0.0	0.20807758098025514	0.0	0.0	0.9003698885346811	0.5349670588920586	0.28782059948679706	0.0	0.0	0.6570845362514797	0.0	0.0	1.7991283789096428	0.0
semibin_SRR8387681.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.932608996464807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387677.66	0.0	0.0	0.26284241678212455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2613815700269255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387676.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21260709782571557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR6000949.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0919784253851823
