OTU ID	SRR25825493	SRR25825494	SRR25825495	SRR25825496	SRR25825497	SRR25825498	SRR25825499	SRR25825500	SRR25825501	SRR25825502	SRR25825503	SRR25825504	SRR25825505	SRR25825506	SRR25825507	SRR25825508	SRR25825509	SRR25825510	SRR25825511	SRR25825512	SRR25825513	SRR25825514	SRR25825515	SRR25825516	SRR25825517	SRR25825518	SRR25825519	SRR25825520	SRR25825521
semibin_SRR8387712.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4488936862210901	0.0	0.0	0.0	0.0	0.0	0.5322818014715641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387707.23	0.3258501852358146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11194235234481502	0.23073217615060035	0.29834116843130387	0.0	0.0	0.0	0.0	0.0	0.0	0.1150576259719143	0.0	0.0	0.0	0.20556703703802162	0.42824388271616703	0.21936287732751142	0.21973872082289295	0.0	0.0	0.0	0.0
semibin_SRR8387691.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.266322817235457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387683.9	0.0	0.0	0.0	0.0	0.0	0.13401736598749803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387683.16	0.0	0.0	0.0	0.9338702983798494	0.16381093687098727	0.0	0.1958577053666255	0.0	0.0	0.0	0.3597462159249084	0.24897549009160622	0.0	0.0	1.8122593590220675	0.0	0.0	0.0603305312478605	0.531361009069113	0.0	0.38500945173213574	0.143676306278688	0.7799610090604419	0.8219995999702029	1.195618423077328	0.0	0.0	1.0242472537330085	0.0
semibin_SRR8387677.66	0.0	0.2927826177951826	1.4162212290457832	0.0	0.0	0.3499068910957557	0.0	0.0	0.0	0.0	0.34954378031648176	0.0	0.0	0.0	0.0	0.0	0.13590479161033997	0.0	0.0	0.8671317256920382	0.0	0.0	0.0	0.8174578147637915	0.0	0.0	0.0	0.0	0.0
semibin_SRR6000947.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.427909904974358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR6000945.4	0.0	0.13047582360142607	0.0	0.17224301865767494	0.3244837003953844	0.3169667282988041	0.3406815869264126	0.0	0.0	0.5325093449737591	0.0	0.0	0.0	0.0	0.19734378188573454	0.0	0.0	0.0	0.0	0.5201160006996356	0.20466139730022365	0.0	0.32437560602066484	0.0	0.6638826848848618	0.0	0.3789137067229213	0.3234346107658363	0.2991992088732014
semibin_SRR6000944.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31597386110818876	0.37224515072149106	0.0	0.0
semibin_SRR6000932.49_sub	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11703859514837346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR6000920.16	0.1257963396082029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
