OTU ID	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224
semibin_SRR8387712.8_sub	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1455680999710168	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387712.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5997277720604262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1392097870292078	0.15880063636007882	0.0	0.0	0.0
semibin_SRR8387707.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.133848225827707	0.11896015789252613	0.0	0.18662124466643368	0.17827220122005796	0.0	0.18298640526644647	0.0	0.11201936313756311	0.0	0.09997276702097367	0.0	0.0	0.46980771767647617
semibin_SRR8387683.16	0.0	0.62277249747852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09494873957811878	0.0	0.0	0.146760377530542	1.941639874120279	0.0	0.12931960059966724	0.0	0.0	0.0
semibin_SRR8387681.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1534605617647049	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387677.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38700146106428124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20733981798861015	0.4272277874942455	0.0	0.5024521827464016
semibin_SRR8387659.60	0.5814168911731288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR6000945.4	0.0	0.0	1.4813479812614132	0.0	0.0	2.558755848475608	0.0	0.7453064383310488	0.7651050056186892	17.564885758676574	0.0	0.0	0.5319022894860426	0.1342623331759249	0.0	0.3047516029337972	0.0	2.029604629028491	1.2110873049180546	0.28155709307682564	0.18614450675083008	0.0	0.0	1.3868714810223277	0.0
semibin_SRR6000944.44	0.0	0.0	0.0	0.0	0.26671516986775773	0.3851022535849921	0.0	0.37391618491373246	0.23191385043098778	0.0	0.6305606396363448	0.0	0.0	0.2952494246678306	0.6436955895817501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3191785107200335	0.0	0.0
semibin_SRR6000932.49_sub	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2717533756463007	0.0	0.0	0.0
