OTU ID	SRR16168896	SRR16168900	SRR16168902	SRR16168903	SRR16168909	SRR16168913	SRR16168918	SRR16168920	SRR16168925	SRR16168926	SRR16168929	SRR16168930	SRR16168938	SRR16168940	SRR16168941	SRR16168942	SRR16168943	SRR16168945	SRR16168952	SRR16168969	SRR16168974	SRR16168975	SRR16168976	SRR16168982	SRR16168984	SRR16168985	SRR16168986
semibin_SRR8387712.8_sub	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3306461616147359	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387712.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25579344841559354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35583100127871803	0.0	0.0	0.0	0.2572002576530975	0.0
semibin_SRR8387707.23	0.0	0.1867347540596001	0.0	0.0	0.0	0.05600695405508691	0.03853981481964754	0.0	0.0	0.06634051005659954	0.0	0.0	0.11316684299863373	0.06095184195931669	0.0	0.09262444622584398	0.0	0.0	0.0	0.0	0.0	0.14953139534951146	0.0	0.06703494060743734	0.0	0.0	0.0
semibin_SRR8387683.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10795176665619631	0.0	0.0	0.0	0.0
semibin_SRR8387683.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.537937452131349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387683.30	0.0	0.0	0.0	0.0	0.11238242391611791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387683.16	0.14019717483242722	1.2386926773380107	2.32603106530581	0.0	0.0	0.0	0.13688984614760397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.226620654190017	0.0	0.14616757736717065	0.0	0.0
semibin_SRR8387681.3	0.0	0.3504399442574428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR8387677.66	0.0	0.0	0.0	0.0	0.0	0.15119321382649467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3687946264144041	0.0	0.0	0.0	0.0
semibin_SRR6000949.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12018311346328524	0.0	0.0
semibin_SRR6000946.20_sub	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19807206791712367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
semibin_SRR6000945.4	0.12306088318159562	0.0	0.410564612435414	0.6811566491095424	0.0	0.3239238766648991	0.06037496394695945	0.11338176028377492	0.0	0.0	0.0	0.3669516558161904	0.0	0.0	0.0	0.0	0.0	0.31789362880266553	0.736119446054334	0.17341454618707436	0.0	0.13778114459284252	0.0	0.08010442816458951	0.0	0.0	0.0
semibin_SRR6000944.44	0.0	0.0	0.0	0.0	0.0	0.10377597646872051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09548398219392201
semibin_SRR6000932.54	0.0	0.0	0.0	0.0	0.0	0.0	0.12628230241047989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2865398534781108
semibin_SRR6000921.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0781242902051774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
